Post,Depth
0.001,1.4
0.002,1.52
0.003,1.4
0.004,1.4
0.005,1.4
0.006,1.52
0.007,1.52
0.008,1.88
0.009,1.52
0.01,1.88
0.011,1.76
0.012,1.52
0.013,1.52
0.014,1.4
0.015,1.76
0.016,1.4
0.017,1.4
0.018,1.4
0.019,2.36
0.02,1.4
0.021,1.4
0.022,1.52
0.023,1.76
0.024,1.88
0.025,1.52
0.026,1.76
0.027,1.76
0.028,1.76
0.029,1.76
0.03,1.76
0.031,1.76
0.032,1.88
0.033,1.76
0.034,2.12
0.035,1.52
0.036,2.12
0.037,1.4
0.038,1.52
0.039,1.4
0.04,1.4
0.041,1.52
0.042,1.76
0.043,1.4
0.044,1.4
0.045,1.4
0.046,1.4
0.047,1.4
0.048,1.76
0.049,1.4
0.05,1.4
0.051,1.88
0.052,1.4
0.053,1.76
0.054,1.4
0.055,1.52
0.056,1.4
0.057,1.52
0.058,1.4
0.059,1.4
0.06,1.52
0.061,1.4
0.062,1.76
0.063,1.76
0.064,2.36
0.065,1.52
0.066,1.4
0.067,1.52
0.068,1.52
0.069,1.4
0.07,1.4
0.071,1.52
0.072,1.52
0.073,1.52
0.074,1.88
0.075,1.52
0.076,1.52
0.077,1.76
0.078,1.76
0.079,1.4
0.08,1.52
0.081,1.4
0.082,1.4
0.083,1.88
0.084,1.4
0.085,1.76
0.086,1.4
0.087,1.4
0.088,2.12
0.089,1.4
0.09,1.4
0.091,1.76
0.092,1.52
0.093,1.4
0.094,1.88
0.095,1.4
0.096,2.36
0.097,1.52
0.098,1.76
0.099,1.4
0.1,1.4
0.101,1.4
0.102,1.52
0.103,1.76
0.104,1.88
0.105,1.52
0.106,1.52
0.107,1.4
0.108,1.4
0.109,1.76
0.11,1.4
0.111,1.52
0.112,1.52
0.113,1.4
0.114,1.4
0.115,1.4
0.116,1.76
0.117,1.4
0.118,1.52
0.119,2.36
0.12,1.52
0.121,1.76
0.122,1.76
0.123,1.4
0.124,2.6
0.125,1.4
0.126,1.88
0.127,1.76
0.128,1.4
0.129,1.52
0.13,2.12
0.131,1.76
0.132,1.4
0.133,1.52
0.134,1.4
0.135,1.76
0.136,1.52
0.137,1.76
0.138,1.52
0.139,1.4
0.14,2.12
0.141,1.76
0.142,1.76
0.143,1.52
0.144,1.4
0.145,1.52
0.146,1.76
0.147,1.76
0.148,1.76
0.149,1.52
